Question,Answer
Can you provide information on SASTRA College's engineering programs?,"  sastra offers various programs including B.Tech, M.Tech, M.Sc., M.C.A., M.B.A., and more. For specific details, you can visit the official website or inquire for more information."
I'm looking for details on the arts and humanities courses offered at SASTRA College.,"  sastra offers various programs including B.Tech, M.Tech, M.Sc., M.C.A., M.B.A., and more. For specific details, you can visit the official website or inquire for more information."
How can I apply for admission to SASTRA College?,"Admissions to B.Tech. and 5-Year Integrated M.Tech. programs are based on JEE-Main and Class XII scores. There are specific streams for admission. For more details, visit the official admission page on the website."
Tell me about the admission process at SASTRA College.,"Admissions to B.Tech. and 5-Year Integrated M.Tech. programs are based on JEE-Main and Class XII scores. There are specific streams for admission. For more details, visit the official admission page on the website."
What are the eligibility criteria for admission to SASTRA College?,"Admissions to B.Tech. and 5-Year Integrated M.Tech. programs are based on JEE-Main and Class XII scores. There are specific streams for admission. For more details, visit the official admission page on the website."
Can you provide details on the documents required for admission?,"Admissions to B.Tech. and 5-Year Integrated M.Tech. programs are based on JEE-Main and Class XII scores. There are specific streams for admission. For more details, visit the official admission page on the website."
Are there any entrance exams for admission to SASTRA College?,"Admissions to B.Tech. and 5-Year Integrated M.Tech. programs are based on JEE-Main and Class XII scores. There are specific streams for admission. For more details, visit the official admission page on the website."
I'm interested in B.Tech admissions. What is the procedure?,"Admissions to B.Tech. and 5-Year Integrated M.Tech. programs are based on JEE-Main and Class XII scores. There are specific streams for admission. For more details, visit the official admission page on the website."
What is the deadline for submitting the admission application?,"Admissions to B.Tech. and 5-Year Integrated M.Tech. programs are based on JEE-Main and Class XII scores. There are specific streams for admission. For more details, visit the official admission page on the website."
Can I apply online for admission to SASTRA College?,"Admissions to B.Tech. and 5-Year Integrated M.Tech. programs are based on JEE-Main and Class XII scores. There are specific streams for admission. For more details, visit the official admission page on the website."
Tell me about the selection criteria for admissions.,"Admissions to B.Tech. and 5-Year Integrated M.Tech. programs are based on JEE-Main and Class XII scores. There are specific streams for admission. For more details, visit the official admission page on the website."
Are there any special provisions for NRI admissions at SASTRA College?,"Admissions to B.Tech. and 5-Year Integrated M.Tech. programs are based on JEE-Main and Class XII scores. There are specific streams for admission. For more details, visit the official admission page on the website."
Do I need a separate application for Stream 1 and Stream 2 ?,"No, you don't need separate applications for Stream 1 and Stream 2. Use the same application form and provide relevant details for both streams."
Application submission details based on streams,"No, you don't need separate applications for Stream 1 and Stream 2. Use the same application form and provide relevant details for both streams."
Application submission details based on stream,"No, you don't need separate applications for Stream 1 and Stream 2. Use the same application form and provide relevant details for both streams."
 Stream 1 and Stream 2?,"Stream 1 considers both JEE-Main and Class XII scores, while Stream 2 is solely based on normalized aggregate Class XII score. Both streams have distinct criteria for admission."
Clarify streams,"Stream 1 considers both JEE-Main and Class XII scores, while Stream 2 is solely based on normalized aggregate Class XII score. Both streams have distinct criteria for admission."
Role of JEE mains and board marks,"Stream 1 considers both JEE-Main and Class XII scores, while Stream 2 is solely based on normalized aggregate Class XII score. Both streams have distinct criteria for admission."
streams,"Stream 1 considers both JEE-Main and Class XII scores, while Stream 2 is solely based on normalized aggregate Class XII score. Both streams have distinct criteria for admission."
stream 1 and stream 2,"Stream 1 considers both JEE-Main and Class XII scores, while Stream 2 is solely based on normalized aggregate Class XII score. Both streams have distinct criteria for admission."
jee mains  admission,"Stream 1 considers both JEE-Main and Class XII scores, while Stream 2 is solely based on normalized aggregate Class XII score. Both streams have distinct criteria for admission."
What are the eligibility criteria for admission to SASTRA College?,"Eligibility criteria vary for different programs. For B.Tech, a pass in +2 with specified subjects and a minimum aggregate of 60% is required. Different programs have different eligibility criteria. Visit the official website for details."
Can you provide information on eligibility requirements for SASTRA College?,"Eligibility criteria vary for different programs. For B.Tech, a pass in +2 with specified subjects and a minimum aggregate of 60% is required. Different programs have different eligibility criteria. Visit the official website for details."
What qualifications are needed for applying to SASTRA College?,"Eligibility criteria vary for different programs. For B.Tech, a pass in +2 with specified subjects and a minimum aggregate of 60% is required. Different programs have different eligibility criteria. Visit the official website for details."
Are there specific subject requirements for admission?,"Eligibility criteria vary for different programs. For B.Tech, a pass in +2 with specified subjects and a minimum aggregate of 60% is required. Different programs have different eligibility criteria. Visit the official website for details."
Tell me about the eligibility criteria for B.Tech admissions at SASTRA College.,"Eligibility criteria vary for different programs. For B.Tech, a pass in +2 with specified subjects and a minimum aggregate of 60% is required. Different programs have different eligibility criteria. Visit the official website for details."
What is the minimum percentage required for admission?,"Eligibility criteria vary for different programs. For B.Tech, a pass in +2 with specified subjects and a minimum aggregate of 60% is required. Different programs have different eligibility criteria. Visit the official website for details."
Do you consider extracurricular activities in the eligibility criteria?,"Eligibility criteria vary for different programs. For B.Tech, a pass in +2 with specified subjects and a minimum aggregate of 60% is required. Different programs have different eligibility criteria. Visit the official website for details."
Can you explain the eligibility criteria for international students?,"Eligibility criteria vary for different programs. For B.Tech, a pass in +2 with specified subjects and a minimum aggregate of 60% is required. Different programs have different eligibility criteria. Visit the official website for details."
Are there any age restrictions for admission to SASTRA College?,"Eligibility criteria vary for different programs. For B.Tech, a pass in +2 with specified subjects and a minimum aggregate of 60% is required. Different programs have different eligibility criteria. Visit the official website for details."
What documents are required to prove eligibility for admission?,"Eligibility criteria vary for different programs. For B.Tech, a pass in +2 with specified subjects and a minimum aggregate of 60% is required. Different programs have different eligibility criteria. Visit the official website for details."
Alternate methods for B.Tech. admissions?,Admissions are based on merit for both Stream 1 and Stream 2. NRI admissions are available with provisions. Interested students should contact the Office of Admissions for detailed information.
What are the provisions for NRI admissions at SASTRA College?,Admissions are based on merit for both Stream 1 and Stream 2. NRI admissions are available with provisions. Interested students should contact the Office of Admissions for detailed information.
Can you provide details on the NRI admissions process?,Admissions are based on merit for both Stream 1 and Stream 2. NRI admissions are available with provisions. Interested students should contact the Office of Admissions for detailed information.
Are there any special requirements for NRI students applying to SASTRA College?,Admissions are based on merit for both Stream 1 and Stream 2. NRI admissions are available with provisions. Interested students should contact the Office of Admissions for detailed information.
How does the admission process differ for NRI candidates?,Admissions are based on merit for both Stream 1 and Stream 2. NRI admissions are available with provisions. Interested students should contact the Office of Admissions for detailed information.
Tell me about the documents needed for NRI admissions at SASTRA College.,Admissions are based on merit for both Stream 1 and Stream 2. NRI admissions are available with provisions. Interested students should contact the Office of Admissions for detailed information.
Is there a separate quota for NRI admissions?,Admissions are based on merit for both Stream 1 and Stream 2. NRI admissions are available with provisions. Interested students should contact the Office of Admissions for detailed information.
What is the eligibility criteria for NRI candidates?,Admissions are based on merit for both Stream 1 and Stream 2. NRI admissions are available with provisions. Interested students should contact the Office of Admissions for detailed information.
Can NRI students apply for scholarships or financial aid?,Admissions are based on merit for both Stream 1 and Stream 2. NRI admissions are available with provisions. Interested students should contact the Office of Admissions for detailed information.
Are there specific admission tests for NRI applicants?,Admissions are based on merit for both Stream 1 and Stream 2. NRI admissions are available with provisions. Interested students should contact the Office of Admissions for detailed information.
Do NRI students need to appear for entrance exams for admission?,Admissions are based on merit for both Stream 1 and Stream 2. NRI admissions are available with provisions. Interested students should contact the Office of Admissions for detailed information.
NRI admissions details,Admissions are based on merit for both Stream 1 and Stream 2. NRI admissions are available with provisions. Interested students should contact the Office of Admissions for detailed information.
Process for NRI seats,Admissions are based on merit for both Stream 1 and Stream 2. NRI admissions are available with provisions. Interested students should contact the Office of Admissions for detailed information.
NRI admissions,Admissions are based on merit for both Stream 1 and Stream 2. NRI admissions are available with provisions. Interested students should contact the Office of Admissions for detailed information.
NRI seat,Admissions are based on merit for both Stream 1 and Stream 2. NRI admissions are available with provisions. Interested students should contact the Office of Admissions for detailed information.
nri appliactions,Admissions are based on merit for both Stream 1 and Stream 2. NRI admissions are available with provisions. Interested students should contact the Office of Admissions for detailed information.
about nri,Admissions are based on merit for both Stream 1 and Stream 2. NRI admissions are available with provisions. Interested students should contact the Office of Admissions for detailed information.
"How are admissions to M.Tech., M.B.A., and M.C.A. conducted at SASTRA College?","Rolling admissions to these programs are based on qualifying degree/board marks and competitive exam scores such as CAT, XAT, AIMAT, CMAT, AIMCAT for MBA and GATE for M.Tech."
Tell me about the admission process for postgraduate programs at SASTRA College.,"Rolling admissions to these programs are based on qualifying degree/board marks and competitive exam scores such as CAT, XAT, AIMAT, CMAT, AIMCAT for MBA and GATE for M.Tech."
"What are the eligibility criteria for M.Tech., M.B.A., and M.C.A. admissions?","Rolling admissions to these programs are based on qualifying degree/board marks and competitive exam scores such as CAT, XAT, AIMAT, CMAT, AIMCAT for MBA and GATE for M.Tech."
Can you provide details on the documents required for postgraduate admissions?,"Rolling admissions to these programs are based on qualifying degree/board marks and competitive exam scores such as CAT, XAT, AIMAT, CMAT, AIMCAT for MBA and GATE for M.Tech."
"Are there any specific entrance exams for M.Tech., M.B.A., and M.C.A. admissions?","Rolling admissions to these programs are based on qualifying degree/board marks and competitive exam scores such as CAT, XAT, AIMAT, CMAT, AIMCAT for MBA and GATE for M.Tech."
Is the application process for SASTRA College online or offline?,"The entire admission process, including application, admission, tuition fee payment, enrollment, and withdrawal, is conducted online. This move aims to reduce the carbon footprint and increase transparency."
Can I submit my application to SASTRA College online?,"The entire admission process, including application, admission, tuition fee payment, enrollment, and withdrawal, is conducted online. This move aims to reduce the carbon footprint and increase transparency."
Tell me about the mode of application for admission to SASTRA College.,"The entire admission process, including application, admission, tuition fee payment, enrollment, and withdrawal, is conducted online. This move aims to reduce the carbon footprint and increase transparency."
Are there any offline application options available for admission?,"The entire admission process, including application, admission, tuition fee payment, enrollment, and withdrawal, is conducted online. This move aims to reduce the carbon footprint and increase transparency."
What is the preferred mode of application at SASTRA College?,"The entire admission process, including application, admission, tuition fee payment, enrollment, and withdrawal, is conducted online. This move aims to reduce the carbon footprint and increase transparency."
Do I need to visit the campus for the application process?,"The entire admission process, including application, admission, tuition fee payment, enrollment, and withdrawal, is conducted online. This move aims to reduce the carbon footprint and increase transparency."
"Are there any application fees, and how can I pay them?","The entire admission process, including application, admission, tuition fee payment, enrollment, and withdrawal, is conducted online. This move aims to reduce the carbon footprint and increase transparency."
Can I track the status of my application online?,"The entire admission process, including application, admission, tuition fee payment, enrollment, and withdrawal, is conducted online. This move aims to reduce the carbon footprint and increase transparency."
Is there a specific portal for submitting online applications?,"The entire admission process, including application, admission, tuition fee payment, enrollment, and withdrawal, is conducted online. This move aims to reduce the carbon footprint and increase transparency."
Are there any advantages to applying online for admission?,"The entire admission process, including application, admission, tuition fee payment, enrollment, and withdrawal, is conducted online. This move aims to reduce the carbon footprint and increase transparency."
application process online or offline?,"The entire admission process, including application, admission, tuition fee payment, enrollment, and withdrawal, is conducted online. This move aims to reduce the carbon footprint and increase transparency."
Details of the application process,"The entire admission process, including application, admission, tuition fee payment, enrollment, and withdrawal, is conducted online. This move aims to reduce the carbon footprint and increase transparency."
online appliaction,"The entire admission process, including application, admission, tuition fee payment, enrollment, and withdrawal, is conducted online. This move aims to reduce the carbon footprint and increase transparency."
offline application,"The entire admission process, including application, admission, tuition fee payment, enrollment, and withdrawal, is conducted online. This move aims to reduce the carbon footprint and increase transparency."
mode of application,"The entire admission process, including application, admission, tuition fee payment, enrollment, and withdrawal, is conducted online. This move aims to reduce the carbon footprint and increase transparency."
method of application,"The entire admission process, including application, admission, tuition fee payment, enrollment, and withdrawal, is conducted online. This move aims to reduce the carbon footprint and increase transparency."
online or offline admissions,"The entire admission process, including application, admission, tuition fee payment, enrollment, and withdrawal, is conducted online. This move aims to reduce the carbon footprint and increase transparency."
online admissions,"The entire admission process, including application, admission, tuition fee payment, enrollment, and withdrawal, is conducted online. This move aims to reduce the carbon footprint and increase transparency."
offline admissions,"The entire admission process, including application, admission, tuition fee payment, enrollment, and withdrawal, is conducted online. This move aims to reduce the carbon footprint and increase transparency."
Can you provide general information about SASTRA College?,"   Deemed University is located in Thanjavur, Tamil Nadu, with an address at Thanjavur 613 401. For more details, contact the General Admission Helpdesk at +91 4362 350011-15 or visit the official website at www.sastra.edu."
Tell me about the location and campus of SASTRA College.,"   Deemed University is located in Thanjavur, Tamil Nadu, with an address at Thanjavur 613 401. For more details, contact the General Admission Helpdesk at +91 4362 350011-15 or visit the official website at www.sastra.edu."
What are the contact details for SASTRA College?,"   Deemed University is located in Thanjavur, Tamil Nadu, with an address at Thanjavur 613 401. For more details, contact the General Admission Helpdesk at +91 4362 350011-15 or visit the official website at www.sastra.edu."
Is there an official website for SASTRA College?,"   Deemed University is located in Thanjavur, Tamil Nadu, with an address at Thanjavur 613 401. For more details, contact the General Admission Helpdesk at +91 4362 350011-15 or visit the official website at www.sastra.edu."
"Provide information about SASTRA College, including its address and phone number.","   Deemed University is located in Thanjavur, Tamil Nadu, with an address at Thanjavur 613 401. For more details, contact the General Admission Helpdesk at +91 4362 350011-15 or visit the official website at www.sastra.edu."
ranklist,"The rank list for admission will be released on June 24, 2023, and will be available at www.sastra.edu. Admissions will commence from June 26, 2023, based on the results. Any changes in dates will be notified on the website."
rank details,"The rank list for admission will be released on June 24, 2023, and will be available at www.sastra.edu. Admissions will commence from June 26, 2023, based on the results. Any changes in dates will be notified on the website."
How is the combined score calculated without JEE (Main)?,"If you haven't written JEE (Main), the weighted score for Stream 1 will be 0, but the +2 aggregate will be given 50% weightage. For Stream 2, the weightage for +2 marks will be 100%. You'll be considered in both Stream 1 & Stream 2 by default."
What are the details for admission without JEE score at SASTRA College?,"If you haven't written JEE (Main), the weighted score for Stream 1 will be 0, but the +2 aggregate will be given 50% weightage. For Stream 2, the weightage for +2 marks will be 100%. You'll be considered in both Stream 1 & Stream 2 by default."
Can I still get admission if I haven't written JEE (Main)?,"If you haven't written JEE (Main), the weighted score for Stream 1 will be 0, but the +2 aggregate will be given 50% weightage. For Stream 2, the weightage for +2 marks will be 100%. You'll be considered in both Stream 1 & Stream 2 by default."
Tell me about the admission process for candidates who haven't taken JEE Main.,"If you haven't written JEE (Main), the weighted score for Stream 1 will be 0, but the +2 aggregate will be given 50% weightage. For Stream 2, the weightage for +2 marks will be 100%. You'll be considered in both Stream 1 & Stream 2 by default."
What is the weighted score calculation for Stream 1 without JEE (Main)?,"If you haven't written JEE (Main), the weighted score for Stream 1 will be 0, but the +2 aggregate will be given 50% weightage. For Stream 2, the weightage for +2 marks will be 100%. You'll be considered in both Stream 1 & Stream 2 by default."
Are there any alternative criteria for admission if I didn't write JEE (Main)?,"If you haven't written JEE (Main), the weighted score for Stream 1 will be 0, but the +2 aggregate will be given 50% weightage. For Stream 2, the weightage for +2 marks will be 100%. You'll be considered in both Stream 1 & Stream 2 by default."
Can I apply to both Stream 1 and Stream 2 without JEE (Main) scores?,"If you haven't written JEE (Main), the weighted score for Stream 1 will be 0, but the +2 aggregate will be given 50% weightage. For Stream 2, the weightage for +2 marks will be 100%. You'll be considered in both Stream 1 & Stream 2 by default."
What weightage is given to Class XII marks if JEE (Main) is not taken?,"If you haven't written JEE (Main), the weighted score for Stream 1 will be 0, but the +2 aggregate will be given 50% weightage. For Stream 2, the weightage for +2 marks will be 100%. You'll be considered in both Stream 1 & Stream 2 by default."
"If I haven't written JEE (Main), how does it affect my chances of admission?","If you haven't written JEE (Main), the weighted score for Stream 1 will be 0, but the +2 aggregate will be given 50% weightage. For Stream 2, the weightage for +2 marks will be 100%. You'll be considered in both Stream 1 & Stream 2 by default."
Is there any flexibility for candidates who didn't appear for JEE (Main) in the admission process?,"If you haven't written JEE (Main), the weighted score for Stream 1 will be 0, but the +2 aggregate will be given 50% weightage. For Stream 2, the weightage for +2 marks will be 100%. You'll be considered in both Stream 1 & Stream 2 by default."
What is the ranking of SASTRA College in India?,"According to NAAC, sastra   University has been rated as an A++ university in India with a score of 3.76/4.00."
Tell me about the NAAC rating for SASTRA College.,"According to NAAC, sastra   University has been rated as an A++ university in India with a score of 3.76/4.00."
Can you provide information about the overall ranking of SASTRA College?,"According to NAAC, sastra   University has been rated as an A++ university in India with a score of 3.76/4.00."
Where does SASTRA College stand in the national college rankings?,"According to NAAC, sastra   University has been rated as an A++ university in India with a score of 3.76/4.00."
Provide details on the NAAC rating and overall rank of SASTRA College.,"According to NAAC, sastra   University has been rated as an A++ university in India with a score of 3.76/4.00."
What is the fee for LLB at SASTRA College?,"B.A LLB fee is 7 Lakh, B.Tech fee ranges from 4.7 L to 7.7 L, and M.Tech fee varies from 2.8 L to 7.7 L."
Can you provide fee details for B.Tech at SASTRA College?,"B.A LLB fee is 7 Lakh, B.Tech fee ranges from 4.7 L to 7.7 L, and M.Tech fee varies from 2.8 L to 7.7 L."
Tell me about the fee information for M.Tech at SASTRA College.,"B.A LLB fee is 7 Lakh, B.Tech fee ranges from 4.7 L to 7.7 L, and M.Tech fee varies from 2.8 L to 7.7 L."
Provide details on the fee structure for different courses at SASTRA College.,"B.A LLB fee is 7 Lakh, B.Tech fee ranges from 4.7 L to 7.7 L, and M.Tech fee varies from 2.8 L to 7.7 L."
"What is the fee range for B.A LLB, B.Tech, and M.Tech at SASTRA College?","B.A LLB fee is 7 Lakh, B.Tech fee ranges from 4.7 L to 7.7 L, and M.Tech fee varies from 2.8 L to 7.7 L."
how can i get a admission in CSE or cse or ece or eee or it or mechanical or civil or bio technology or bio engnieering?,Admissions to specific branches are based on the rank list. Your branch allocation depends on your rank in the admission process.
How can I get a seat in the Computer Science and Engineering (CSE) branch at SASTRA College?,Admissions to specific branches are based on the rank list. Your branch allocation depends on your rank in the admission process.
Tell me about the admission process for the Electronics and Communication Engineering (ECE) branch.,Admissions to specific branches are based on the rank list. Your branch allocation depends on your rank in the admission process.
What is the admission procedure for the Mechanical Engineering branch at SASTRA College?,Admissions to specific branches are based on the rank list. Your branch allocation depends on your rank in the admission process.
Can you provide details on how to secure admission in the Information Technology (IT) branch?,Admissions to specific branches are based on the rank list. Your branch allocation depends on your rank in the admission process.
What are the requirements for getting admission in the Electrical Engineering (EE) branch?,Admissions to specific branches are based on the rank list. Your branch allocation depends on your rank in the admission process.
Is there a specific rank or score required for admission to the Civil Engineering branch?,Admissions to specific branches are based on the rank list. Your branch allocation depends on your rank in the admission process.
Tell me about the eligibility criteria for the Chemical Engineering branch at SASTRA College.,Admissions to specific branches are based on the rank list. Your branch allocation depends on your rank in the admission process.
How are seats allocated in the Computer Science and Engineering (CSE) branch?,Admissions to specific branches are based on the rank list. Your branch allocation depends on your rank in the admission process.
Are there any specific entrance exams for admission to the Biotechnology branch?,Admissions to specific branches are based on the rank list. Your branch allocation depends on your rank in the admission process.
What factors are considered for branch allocation during the admission process?,Admissions to specific branches are based on the rank list. Your branch allocation depends on your rank in the admission process.
Can you provide information on the admission process for the Aerospace Engineering branch?,Admissions to specific branches are based on the rank list. Your branch allocation depends on your rank in the admission process.
Tell me about the eligibility criteria for the Environmental Engineering branch at SASTRA College.,Admissions to specific branches are based on the rank list. Your branch allocation depends on your rank in the admission process.
How can I secure admission in the Computer Science and Business Systems branch?,Admissions to specific branches are based on the rank list. Your branch allocation depends on your rank in the admission process.
What are the requirements for admission to the Artificial Intelligence and Machine Learning branch?,Admissions to specific branches are based on the rank list. Your branch allocation depends on your rank in the admission process.
Tell me about the admission procedure for the Robotics and Automation Engineering branch at SASTRA College.,Admissions to specific branches are based on the rank list. Your branch allocation depends on your rank in the admission process.
Can I visit the campus of SASTRA College?,"You can visit the campus anytime, except during night hours. It's recommended to plan your visit during regular hours for a better experience."
What is the procedure for visiting SASTRA College's campus?,"You can visit the campus anytime, except during night hours. It's recommended to plan your visit during regular hours for a better experience."
Tell me about the visitation policy for SASTRA College's campus.,"You can visit the campus anytime, except during night hours. It's recommended to plan your visit during regular hours for a better experience."
Are there specific visiting hours for the campus of SASTRA College?,"You can visit the campus anytime, except during night hours. It's recommended to plan your visit during regular hours for a better experience."
Can you provide information on the best time to visit the campus of SASTRA College?,"You can visit the campus anytime, except during night hours. It's recommended to plan your visit during regular hours for a better experience."
connect with alumni ,Details of alumni are available on the    website at https://www.  .edu/. You can find contact information and connect with alumni through the provided channels.
Alumni details,Details of alumni are available on the    website at https://www.  .edu/. You can find contact information and connect with alumni through the provided channels.
aluminis,Details of alumni are available on the    website at https://www.  .edu/. You can find contact information and connect with alumni through the provided channels.
alimini,Details of alumni are available on the    website at https://www.  .edu/. You can find contact information and connect with alumni through the provided channels.
How can I slide to other branches or departments at SASTRA College?,"Branch sliding is based on your academic performance in the first year. Specific criteria are applied for sliding, and it depends on the availability of seats in the desired branch."
Tell me about the branch sliding process at SASTRA College.,"Branch sliding is based on your academic performance in the first year. Specific criteria are applied for sliding, and it depends on the availability of seats in the desired branch."
What are the criteria for branch sliding in the first year?,"Branch sliding is based on your academic performance in the first year. Specific criteria are applied for sliding, and it depends on the availability of seats in the desired branch."
Can you provide details on the eligibility for branch sliding?,"Branch sliding is based on your academic performance in the first year. Specific criteria are applied for sliding, and it depends on the availability of seats in the desired branch."
How does the branch sliding process work at SASTRA College?,"Branch sliding is based on your academic performance in the first year. Specific criteria are applied for sliding, and it depends on the availability of seats in the desired branch."
slide to other branches or departments ,"Branch sliding is based on your academic performance in the first year. Specific criteria are applied for sliding, and it depends on the availability of seats in the desired branch."
Branch sliding process,"Branch sliding is based on your academic performance in the first year. Specific criteria are applied for sliding, and it depends on the availability of seats in the desired branch."
sliding process,"Branch sliding is based on your academic performance in the first year. Specific criteria are applied for sliding, and it depends on the availability of seats in the desired branch."
branch sliding,"Branch sliding is based on your academic performance in the first year. Specific criteria are applied for sliding, and it depends on the availability of seats in the desired branch."
What is the admission fee at SASTRA College?,The admission fee is approximately 600-700 rupees.
Can you provide details about the admission fee structure?,The admission fee is approximately 600-700 rupees.
Tell me about the fees for admission at SASTRA College.,The admission fee is approximately 600-700 rupees.
What is the approximate amount for the admission fee?,The admission fee is approximately 600-700 rupees.
Provide information on how to pay the admission fee at SASTRA College.,The admission fee is approximately 600-700 rupees.
How much area does the college campus cover?,The college is spread across approximately 200 acres.
Tell me about the total land area of SASTRA College.,The college is spread across approximately 200 acres.
What is the size of the campus at SASTRA College?,The college is spread across approximately 200 acres.
Provide information on the area covered by the college premises.,The college is spread across approximately 200 acres.
Can you share details about the campus size and layout at SASTRA College?,The college is spread across approximately 200 acres.
